rpt_month,rpt_year,rptsrc,age,n
1,2018,day care,7,88
1,2018,day care,8,63
1,2018,day care,9,60
1,2018,day care,10,53
1,2018,day care,11,32
1,2018,day care,12,24
1,2018,day care,13,23
1,2018,day care,14,13
1,2018,day care,15,14
1,2018,day care,16,20
1,2018,day care,17,17
1,2018,day care,NA,11
1,2018,education,0,1515
1,2018,education,1,1888
1,2018,education,2,2095
1,2018,education,3,2562
1,2018,education,4,3491
1,2018,education,5,5666
1,2018,education,6,6725
1,2018,education,7,6623
1,2018,education,8,6697
1,2018,education,9,6506
1,2018,education,10,6407
1,2018,education,11,6057
1,2018,education,12,5330
1,2018,education,13,5034
1,2018,education,14,4669
1,2018,education,15,4227
1,2018,education,16,3619
1,2018,education,17,2779
1,2018,education,18,75
1,2018,education,NA,217
1,2018,medical,0,9261
1,2018,medical,1,2299
1,2018,medical,2,2059
1,2018,medical,3,1837
1,2018,medical,4,1701
1,2018,medical,5,1552
1,2018,medical,6,1487
1,2018,medical,7,1330
1,2018,medical,8,1266
1,2018,medical,9,1240
1,2018,medical,10,1148
1,2018,medical,11,1131
1,2018,medical,12,1096
1,2018,medical,13,1121
1,2018,medical,14,1139
1,2018,medical,15,1205
1,2018,medical,16,1091
1,2018,medical,17,929
1,2018,medical,18,21
1,2018,medical,NA,58
1,2018,mental health,0,640
1,2018,mental health,1,563
1,2018,mental health,2,629
1,2018,mental health,3,710
1,2018,mental health,4,809
1,2018,mental health,5,972
1,2018,mental health,6,1083
1,2018,mental health,7,1120
1,2018,mental health,8,1243
1,2018,mental health,9,1342
1,2018,mental health,10,1250
1,2018,mental health,11,1354
1,2018,mental health,12,1455
1,2018,mental health,13,1459
1,2018,mental health,14,1464
1,2018,mental health,15,1480
1,2018,mental health,16,1324
1,2018,mental health,17,1033
1,2018,mental health,18,39
1,2018,mental health,NA,80
1,2018,non-professional,0,7974
1,2018,non-professional,1,7681
1,2018,non-professional,2,7911
1,2018,non-professional,3,7807
1,2018,non-professional,4,7686
1,2018,non-professional,5,7623
1,2018,non-professional,6,7044
1,2018,non-professional,7,6957
1,2018,non-professional,8,6931
1,2018,non-professional,9,6723
1,2018,non-professional,10,6323
1,2018,non-professional,11,5911
1,2018,non-professional,12,5380
1,2018,non-professional,13,5063
1,2018,non-professional,14,4851
1,2018,non-professional,15,4637
1,2018,non-professional,16,4021
1,2018,non-professional,17,3267
1,2018,non-professional,18,227
1,2018,non-professional,NA,669
1,2018,police,0,4896
1,2018,police,1,4592
1,2018,police,2,4468
1,2018,police,3,4233
1,2018,police,4,4050
1,2018,police,5,3675
1,2018,police,6,3379
1,2018,police,7,3393
1,2018,police,8,3464
1,2018,police,9,3305
1,2018,police,10,3282
1,2018,police,11,3063
1,2018,police,12,2976
1,2018,police,13,3112
1,2018,police,14,3024
1,2018,police,15,3190
1,2018,police,16,2774
1,2018,police,17,2059
1,2018,police,18,59
1,2018,police,NA,126
1,2018,social services,0,4505
1,2018,social services,1,2122
1,2018,social services,2,2084
1,2018,social services,3,2066
1,2018,social services,4,2065
1,2018,social services,5,2002
1,2018,social services,6,2117
1,2018,social services,7,2053
1,2018,social services,8,2063
1,2018,social services,9,2073
1,2018,social services,10,1988
1,2018,social services,11,1944
1,2018,social services,12,1835
1,2018,social services,13,1932
1,2018,social services,14,1959
1,2018,social services,15,2009
1,2018,social services,16,1966
1,2018,social services,17,1516
1,2018,social services,18,73
1,2018,social services,NA,115
1,2018,substitute care ,0,54
1,2018,substitute care ,1,61
1,2018,substitute care ,2,75
1,2018,substitute care ,3,81
1,2018,substitute care ,4,86
1,2018,substitute care ,5,64
1,2018,substitute care ,6,70
1,2018,substitute care ,7,80
1,2018,substitute care ,8,54
1,2018,substitute care ,9,60
1,2018,substitute care ,10,64
1,2018,substitute care ,11,58
1,2018,substitute care ,12,57
1,2018,substitute care ,13,68
1,2018,substitute care ,14,73
1,2018,substitute care ,15,93
1,2018,substitute care ,16,93
1,2018,substitute care ,17,100
1,2018,substitute care ,18,10
1,2018,substitute care ,NA,4
1,2018,NA,0,1285
1,2018,NA,1,986
1,2018,NA,2,974
1,2018,NA,3,950
1,2018,NA,4,996
1,2018,NA,5,1028
1,2018,NA,6,1004
1,2018,NA,7,1024
1,2018,NA,8,1009
1,2018,NA,9,1061
1,2018,NA,10,976
1,2018,NA,11,913
1,2018,NA,12,783
1,2018,NA,13,783
1,2018,NA,14,785
1,2018,NA,15,708
1,2018,NA,16,614
1,2018,NA,17,272
1,2018,NA,18,6
1,2018,NA,NA,52
1,2019,day care,0,134
1,2019,day care,1,196
1,2019,day care,2,266
1,2019,day care,3,318
1,2019,day care,4,315
1,2019,day care,5,174
1,2019,day care,6,96
1,2019,day care,7,78
1,2019,day care,8,62
1,2019,day care,9,68
1,2019,day care,10,49
1,2019,day care,11,41
1,2019,day care,12,38
1,2019,day care,13,21
1,2019,day care,14,18
1,2019,day care,15,15
1,2019,day care,16,10
1,2019,day care,17,14
1,2019,day care,NA,9
1,2019,education,0,1546
1,2019,education,1,1933
1,2019,education,2,2089
1,2019,education,3,2565
1,2019,education,4,3504
1,2019,education,5,5764
1,2019,education,6,6798
1,2019,education,7,6806
1,2019,education,8,6656
1,2019,education,9,6581
1,2019,education,10,6528
1,2019,education,11,6145
1,2019,education,12,5910
1,2019,education,13,5372
1,2019,education,14,4970
1,2019,education,15,4293
1,2019,education,16,3754
1,2019,education,17,2764
1,2019,education,18,59
1,2019,education,NA,262
1,2019,medical,0,10330
1,2019,medical,1,2364
1,2019,medical,2,2006
1,2019,medical,3,1886
1,2019,medical,4,1728
1,2019,medical,5,1518
1,2019,medical,6,1511
1,2019,medical,7,1389
1,2019,medical,8,1375
1,2019,medical,9,1279
1,2019,medical,10,1260
1,2019,medical,11,1167
1,2019,medical,12,1197
1,2019,medical,13,1166
1,2019,medical,14,1185
1,2019,medical,15,1217
1,2019,medical,16,1105
1,2019,medical,17,911
1,2019,medical,18,20
1,2019,medical,NA,101
1,2019,mental health,0,608
1,2019,mental health,1,583
1,2019,mental health,2,618
1,2019,mental health,3,691
1,2019,mental health,4,831
1,2019,mental health,5,984
1,2019,mental health,6,1083
1,2019,mental health,7,1190
1,2019,mental health,8,1155
1,2019,mental health,9,1202
1,2019,mental health,10,1364
1,2019,mental health,11,1403
1,2019,mental health,12,1405
1,2019,mental health,13,1573
1,2019,mental health,14,1547
1,2019,mental health,15,1491
1,2019,mental health,16,1353
1,2019,mental health,17,1040
1,2019,mental health,18,19
1,2019,mental health,NA,73
1,2019,non-professional,0,7376
1,2019,non-professional,1,7042
1,2019,non-professional,2,7068
1,2019,non-professional,3,7353
1,2019,non-professional,4,7261
1,2019,non-professional,5,6995
1,2019,non-professional,6,6497
1,2019,non-professional,7,6518
1,2019,non-professional,8,6108
1,2019,non-professional,9,6138
1,2019,non-professional,10,5878
1,2019,non-professional,11,5735
1,2019,non-professional,12,5270
1,2019,non-professional,13,4842
1,2019,non-professional,14,4716
1,2019,non-professional,15,4471
1,2019,non-professional,16,4027
1,2019,non-professional,17,3031
1,2019,non-professional,18,115
1,2019,non-professional,NA,802
1,2019,police,0,4870
1,2019,police,1,4741
1,2019,police,2,4591
1,2019,police,3,4278
1,2019,police,4,4156
1,2019,police,5,3842
1,2019,police,6,3574
1,2019,police,7,3431
1,2019,police,8,3337
1,2019,police,9,3357
1,2019,police,10,3281
1,2019,police,11,3245
1,2019,police,12,3220
1,2019,police,13,3141
1,2019,police,14,3132
1,2019,police,15,3101
1,2019,police,16,2761
1,2019,police,17,2000
1,2019,police,18,37
1,2019,police,NA,189
1,2019,social services,0,3940
1,2019,social services,1,1975
1,2019,social services,2,1935
1,2019,social services,3,1943
1,2019,social services,4,1872
1,2019,social services,5,1940
1,2019,social services,6,1962
1,2019,social services,7,1865
1,2019,social services,8,1876
1,2019,social services,9,1814
1,2019,social services,10,1815
1,2019,social services,11,1794
1,2019,social services,12,1864
1,2019,social services,13,1829
1,2019,social services,14,1866
1,2019,social services,15,1886
1,2019,social services,16,1802
1,2019,social services,17,1418
1,2019,social services,18,32
1,2019,social services,NA,127
1,2019,substitute care ,0,64
1,2019,substitute care ,1,50
1,2019,substitute care ,2,80
1,2019,substitute care ,3,88
1,2019,substitute care ,4,99
1,2019,substitute care ,5,82
1,2019,substitute care ,6,66
1,2019,substitute care ,7,54
1,2019,substitute care ,8,57
1,2019,substitute care ,9,60
1,2019,substitute care ,10,54
1,2019,substitute care ,11,58
1,2019,substitute care ,12,79
1,2019,substitute care ,13,81
1,2019,substitute care ,14,78
1,2019,substitute care ,15,87
1,2019,substitute care ,16,105
1,2019,substitute care ,17,82
1,2019,substitute care ,18,2
1,2019,substitute care ,NA,4
1,2019,NA,0,1175
1,2019,NA,1,911
1,2019,NA,2,885
1,2019,NA,3,972
1,2019,NA,4,952
1,2019,NA,5,981
1,2019,NA,6,983
1,2019,NA,7,1017
1,2019,NA,8,992
1,2019,NA,9,967
1,2019,NA,10,918
1,2019,NA,11,942
1,2019,NA,12,886
1,2019,NA,13,861
1,2019,NA,14,747
1,2019,NA,15,702
1,2019,NA,16,625
1,2019,NA,17,215
1,2019,NA,18,9
1,2019,NA,NA,44
1,2020,day care,0,123
1,2020,day care,1,199
1,2020,day care,2,233
1,2020,day care,3,338
1,2020,day care,4,338
1,2020,day care,5,193
1,2020,day care,6,107
1,2020,day care,7,91
1,2020,day care,8,77
1,2020,day care,9,77
1,2020,day care,10,50
1,2020,day care,11,49
1,2020,day care,12,29
1,2020,day care,13,30
1,2020,day care,14,16
1,2020,day care,15,27
1,2020,day care,16,13
1,2020,day care,17,10
1,2020,day care,NA,13
1,2020,education,0,1766
1,2020,education,1,2048
1,2020,education,2,2313
1,2020,education,3,2842
1,2020,education,4,4070
1,2020,education,5,6431
1,2020,education,6,7453
1,2020,education,7,7358
1,2020,education,8,7197
1,2020,education,9,6848
1,2020,education,10,6970
1,2020,education,11,6673
1,2020,education,12,6379
1,2020,education,13,5923
1,2020,education,14,5428
1,2020,education,15,4811
1,2020,education,16,4038
1,2020,education,17,2932
1,2020,education,18,74
1,2020,education,NA,210
1,2020,medical,0,9912
1,2020,medical,1,2249
1,2020,medical,2,1941
1,2020,medical,3,1873
1,2020,medical,4,1614
1,2020,medical,5,1557
1,2020,medical,6,1468
1,2020,medical,7,1329
1,2020,medical,8,1273
1,2020,medical,9,1178
1,2020,medical,10,1289
1,2020,medical,11,1133
1,2020,medical,12,1249
1,2020,medical,13,1240
1,2020,medical,14,1330
1,2020,medical,15,1229
1,2020,medical,16,1150
1,2020,medical,17,1029
1,2020,medical,18,22
1,2020,medical,NA,82
1,2020,mental health,0,588
1,2020,mental health,1,511
1,2020,mental health,2,610
1,2020,mental health,3,692
1,2020,mental health,4,803
1,2020,mental health,5,971
1,2020,mental health,6,1066
1,2020,mental health,7,1189
1,2020,mental health,8,1243
1,2020,mental health,9,1290
1,2020,mental health,10,1331
1,2020,mental health,11,1388
1,2020,mental health,12,1568
1,2020,mental health,13,1719
1,2020,mental health,14,1671
1,2020,mental health,15,1582
1,2020,mental health,16,1493
1,2020,mental health,17,1092
1,2020,mental health,18,20
1,2020,mental health,NA,73
1,2020,non-professional,0,7155
1,2020,non-professional,1,6716
1,2020,non-professional,2,6689
1,2020,non-professional,3,6974
1,2020,non-professional,4,6802
1,2020,non-professional,5,6781
1,2020,non-professional,6,6386
1,2020,non-professional,7,6220
1,2020,non-professional,8,5899
1,2020,non-professional,9,5735
1,2020,non-professional,10,5505
1,2020,non-professional,11,5436
1,2020,non-professional,12,5355
1,2020,non-professional,13,5272
1,2020,non-professional,14,4921
1,2020,non-professional,15,4665
1,2020,non-professional,16,4069
1,2020,non-professional,17,3060
1,2020,non-professional,18,106
1,2020,non-professional,NA,666
1,2020,police,0,4683
1,2020,police,1,4557
1,2020,police,2,4492
1,2020,police,3,4272
1,2020,police,4,4132
1,2020,police,5,3751
1,2020,police,6,3533
1,2020,police,7,3347
1,2020,police,8,3152
1,2020,police,9,3161
1,2020,police,10,3162
1,2020,police,11,3125
1,2020,police,12,3292
1,2020,police,13,3266
1,2020,police,14,3234
1,2020,police,15,3181
1,2020,police,16,2855
1,2020,police,17,2110
1,2020,police,18,24
1,2020,police,NA,176
1,2020,social services,0,3676
1,2020,social services,1,1789
1,2020,social services,2,1865
1,2020,social services,3,1769
1,2020,social services,4,1793
1,2020,social services,5,1951
1,2020,social services,6,1950
1,2020,social services,7,1896
1,2020,social services,8,1835
1,2020,social services,9,1803
1,2020,social services,10,1822
1,2020,social services,11,1916
1,2020,social services,12,1897
1,2020,social services,13,1994
1,2020,social services,14,1890
1,2020,social services,15,1973
1,2020,social services,16,1789
1,2020,social services,17,1399
1,2020,social services,18,27
1,2020,social services,NA,121
1,2020,substitute care ,0,62
1,2020,substitute care ,1,70
1,2020,substitute care ,2,82
1,2020,substitute care ,3,97
1,2020,substitute care ,4,98
1,2020,substitute care ,5,89
1,2020,substitute care ,6,76
1,2020,substitute care ,7,67
1,2020,substitute care ,8,63
1,2020,substitute care ,9,55
1,2020,substitute care ,10,49
1,2020,substitute care ,11,57
1,2020,substitute care ,12,59
1,2020,substitute care ,13,65
1,2020,substitute care ,14,66
1,2020,substitute care ,15,97
1,2020,substitute care ,16,76
1,2020,substitute care ,17,81
1,2020,substitute care ,18,3
1,2020,substitute care ,NA,5
1,2020,NA,0,579
1,2020,NA,1,461
1,2020,NA,2,466
1,2020,NA,3,471
1,2020,NA,4,542
1,2020,NA,5,526
1,2020,NA,6,556
1,2020,NA,7,578
1,2020,NA,8,484
1,2020,NA,9,498
1,2020,NA,10,445
1,2020,NA,11,489
1,2020,NA,12,457
1,2020,NA,13,430
1,2020,NA,14,439
1,2020,NA,15,394
1,2020,NA,16,377
1,2020,NA,17,264
1,2020,NA,18,22
1,2020,NA,NA,46
2,2016,medical,8,1
2,2017,day care,0,1
2,2017,day care,1,2
2,2017,day care,2,2
2,2017,day care,3,2
2,2017,day care,4,4
2,2017,day care,5,2
2,2017,day care,7,1
2,2017,day care,9,1
2,2017,day care,16,1
2,2017,education,0,29
2,2017,education,1,29
2,2017,education,2,37
2,2017,education,3,43
2,2017,education,4,52
2,2017,education,5,95
2,2017,education,6,126
2,2017,education,7,141
2,2017,education,8,127
2,2017,education,9,141
2,2017,education,10,129
2,2017,education,11,124
2,2017,education,12,103
2,2017,education,13,95
2,2017,education,14,82
2,2017,education,15,82
2,2017,education,16,51
2,2017,education,17,39
2,2017,education,18,3
2,2017,education,NA,1
2,2017,medical,0,201
2,2017,medical,1,37
2,2017,medical,2,33
2,2017,medical,3,30
2,2017,medical,4,29
2,2017,medical,5,26
2,2017,medical,6,22
2,2017,medical,7,26
2,2017,medical,8,26
2,2017,medical,9,27
2,2017,medical,10,19
2,2017,medical,11,17
2,2017,medical,12,30
2,2017,medical,13,26
2,2017,medical,14,22
2,2017,medical,15,20
2,2017,medical,16,21
2,2017,medical,17,21
2,2017,medical,18,2
2,2017,medical,NA,3
2,2017,mental health,0,8
2,2017,mental health,1,7
2,2017,mental health,2,14
2,2017,mental health,3,12
2,2017,mental health,4,17
2,2017,mental health,5,16
2,2017,mental health,6,13
2,2017,mental health,7,26
2,2017,mental health,8,18
2,2017,mental health,9,23
2,2017,mental health,10,15
2,2017,mental health,11,19
2,2017,mental health,12,35
2,2017,mental health,13,29
2,2017,mental health,14,33
2,2017,mental health,15,24
2,2017,mental health,16,30
2,2017,mental health,17,18
2,2017,mental health,18,2
2,2017,mental health,NA,2
2,2017,non-professional,0,126
2,2017,non-professional,1,127
2,2017,non-professional,2,156
2,2017,non-professional,3,130
2,2017,non-professional,4,124
2,2017,non-professional,5,130
2,2017,non-professional,6,141
2,2017,non-professional,7,150
2,2017,non-professional,8,114
2,2017,non-professional,9,111
2,2017,non-professional,10,116
2,2017,non-professional,11,103
2,2017,non-professional,12,100
2,2017,non-professional,13,87
2,2017,non-professional,14,97
2,2017,non-professional,15,95
2,2017,non-professional,16,87
2,2017,non-professional,17,47
2,2017,non-professional,18,7
2,2017,non-professional,NA,9
2,2017,police,0,119
2,2017,police,1,123
2,2017,police,2,95
2,2017,police,3,92
2,2017,police,4,108
2,2017,police,5,77
2,2017,police,6,85
2,2017,police,7,63
2,2017,police,8,78
2,2017,police,9,83
2,2017,police,10,89
2,2017,police,11,87
2,2017,police,12,82
2,2017,police,13,79
2,2017,police,14,78
2,2017,police,15,85
2,2017,police,16,64
2,2017,police,17,53
2,2017,police,18,3
2,2017,police,NA,3
2,2017,social services,0,95
2,2017,social services,1,33
2,2017,social services,2,30
2,2017,social services,3,34
2,2017,social services,4,34
2,2017,social services,5,50
2,2017,social services,6,39
2,2017,social services,7,23
2,2017,social services,8,40
2,2017,social services,9,36
2,2017,social services,10,32
2,2017,social services,11,39
2,2017,social services,12,28
2,2017,social services,13,32
2,2017,social services,14,45
2,2017,social services,15,33
2,2017,social services,16,31
2,2017,social services,17,25
2,2017,social services,18,1
2,2017,substitute care ,0,2
2,2017,substitute care ,3,1
2,2017,substitute care ,4,2
2,2017,substitute care ,7,1
2,2017,substitute care ,9,2
2,2017,substitute care ,12,1
2,2017,substitute care ,14,1
2,2017,substitute care ,17,1
2,2017,substitute care ,18,1
2,2017,NA,0,4
2,2017,NA,1,4
2,2017,NA,2,6
2,2017,NA,3,10
2,2017,NA,4,6
2,2017,NA,5,10
2,2017,NA,6,6
2,2017,NA,7,14
2,2017,NA,8,9
2,2017,NA,9,6
2,2017,NA,10,8
2,2017,NA,11,5
2,2017,NA,12,3
2,2017,NA,13,5
2,2017,NA,14,5
2,2017,NA,15,3
2,2017,NA,16,8
2,2017,NA,17,3
2,2017,NA,NA,1
2,2018,day care,0,135
2,2018,day care,1,182
2,2018,day care,2,253
2,2018,day care,3,330
2,2018,day care,4,365
2,2018,day care,5,226
2,2018,day care,6,109
2,2018,day care,7,92
2,2018,day care,8,78
2,2018,day care,9,77
2,2018,day care,10,56
2,2018,day care,11,47
2,2018,day care,12,37
2,2018,day care,13,26
2,2018,day care,14,30
2,2018,day care,15,23
2,2018,day care,16,17
2,2018,day care,17,14
2,2018,day care,18,4
2,2018,day care,NA,7
2,2018,education,0,1810
2,2018,education,1,2176
2,2018,education,2,2360
2,2018,education,3,2958
2,2018,education,4,3958
2,2018,education,5,6358
2,2018,education,6,7791
2,2018,education,7,7861
2,2018,education,8,7986
2,2018,education,9,7949
2,2018,education,10,7682
2,2018,education,11,7156
2,2018,education,12,6482
2,2018,education,13,6147
2,2018,education,14,5628
2,2018,education,15,4915
2,2018,education,16,4250
2,2018,education,17,3202
2,2018,education,18,101
2,2018,education,NA,227
2,2018,medical,0,8385
2,2018,medical,1,2102
2,2018,medical,2,1803
2,2018,medical,3,1689
2,2018,medical,4,1530
2,2018,medical,5,1386
2,2018,medical,6,1288
2,2018,medical,7,1245
2,2018,medical,8,1268
2,2018,medical,9,1144
2,2018,medical,10,1185
2,2018,medical,11,1091
2,2018,medical,12,1088
2,2018,medical,13,1120
2,2018,medical,14,1141
2,2018,medical,15,1059
2,2018,medical,16,1034
2,2018,medical,17,852
2,2018,medical,18,29
2,2018,medical,NA,65
2,2018,mental health,0,508
2,2018,mental health,1,487
2,2018,mental health,2,603
2,2018,mental health,3,650
2,2018,mental health,4,768
2,2018,mental health,5,878
2,2018,mental health,6,981
2,2018,mental health,7,1086
2,2018,mental health,8,1240
2,2018,mental health,9,1277
2,2018,mental health,10,1289
2,2018,mental health,11,1365
2,2018,mental health,12,1404
2,2018,mental health,13,1539
2,2018,mental health,14,1484
2,2018,mental health,15,1517
2,2018,mental health,16,1357
2,2018,mental health,17,1039
2,2018,mental health,18,38
2,2018,mental health,NA,41
2,2018,non-professional,0,6865
2,2018,non-professional,1,6617
2,2018,non-professional,2,6818
2,2018,non-professional,3,6902
2,2018,non-professional,4,6809
2,2018,non-professional,5,6593
2,2018,non-professional,6,6230
2,2018,non-professional,7,6151
2,2018,non-professional,8,6128
2,2018,non-professional,9,5865
2,2018,non-professional,10,5730
2,2018,non-professional,11,5238
2,2018,non-professional,12,4875
2,2018,non-professional,13,4540
2,2018,non-professional,14,4322
2,2018,non-professional,15,4173
2,2018,non-professional,16,3709
2,2018,non-professional,17,2906
2,2018,non-professional,18,209
2,2018,non-professional,NA,579
2,2018,police,0,4576
2,2018,police,1,4227
2,2018,police,2,4300
2,2018,police,3,4081
2,2018,police,4,3711
2,2018,police,5,3496
2,2018,police,6,3418
2,2018,police,7,3040
2,2018,police,8,3068
2,2018,police,9,3110
2,2018,police,10,3023
2,2018,police,11,2910
2,2018,police,12,2870
2,2018,police,13,2871
2,2018,police,14,2770
2,2018,police,15,2885
2,2018,police,16,2619
2,2018,police,17,1983
2,2018,police,18,60
2,2018,police,NA,162
2,2018,social services,0,3830
2,2018,social services,1,1877
2,2018,social services,2,1806
2,2018,social services,3,1868
2,2018,social services,4,1864
2,2018,social services,5,1858
2,2018,social services,6,1833
2,2018,social services,7,1864
2,2018,social services,8,1897
2,2018,social services,9,1891
2,2018,social services,10,1804
2,2018,social services,11,1807
2,2018,social services,12,1751
2,2018,social services,13,1715
2,2018,social services,14,1852
2,2018,social services,15,1898
2,2018,social services,16,1784
2,2018,social services,17,1412
2,2018,social services,18,49
2,2018,social services,NA,104
2,2018,substitute care ,0,62
2,2018,substitute care ,1,58
2,2018,substitute care ,2,80
2,2018,substitute care ,3,81
2,2018,substitute care ,4,73
2,2018,substitute care ,5,63
2,2018,substitute care ,6,59
2,2018,substitute care ,7,46
2,2018,substitute care ,8,53
2,2018,substitute care ,9,64
2,2018,substitute care ,10,69
2,2018,substitute care ,11,58
2,2018,substitute care ,12,64
2,2018,substitute care ,13,60
2,2018,substitute care ,14,85
2,2018,substitute care ,15,74
2,2018,substitute care ,16,74
2,2018,substitute care ,17,58
2,2018,substitute care ,18,2
2,2018,substitute care ,NA,3
2,2018,NA,0,1245
2,2018,NA,1,937
2,2018,NA,2,957
2,2018,NA,3,952
2,2018,NA,4,970
2,2018,NA,5,1001
2,2018,NA,6,1071
2,2018,NA,7,1120
2,2018,NA,8,1096
2,2018,NA,9,1073
2,2018,NA,10,1078
2,2018,NA,11,995
2,2018,NA,12,965
2,2018,NA,13,828
2,2018,NA,14,796
2,2018,NA,15,747
2,2018,NA,16,738
2,2018,NA,17,276
2,2018,NA,18,15
2,2018,NA,NA,61
2,2019,day care,0,126
2,2019,day care,1,218
2,2019,day care,2,277
2,2019,day care,3,317
2,2019,day care,4,272
2,2019,day care,5,191
2,2019,day care,6,90
2,2019,day care,7,76
2,2019,day care,8,86
2,2019,day care,9,72
2,2019,day care,10,67
2,2019,day care,11,49
2,2019,day care,12,29
2,2019,day care,13,21
2,2019,day care,14,22
2,2019,day care,15,20
2,2019,day care,16,21
2,2019,day care,17,7
2,2019,day care,18,1
2,2019,day care,NA,11
2,2019,education,0,1693
2,2019,education,1,2008
2,2019,education,2,2236
2,2019,education,3,2885
2,2019,education,4,3858
2,2019,education,5,6092
2,2019,education,6,7524
2,2019,education,7,7548
2,2019,education,8,7480
2,2019,education,9,7565
2,2019,education,10,7237
2,2019,education,11,7072
2,2019,education,12,6622
2,2019,education,13,5810
2,2019,education,14,5449
2,2019,education,15,4601
2,2019,education,16,4117
2,2019,education,17,2918
2,2019,education,18,65
2,2019,education,NA,223
2,2019,medical,0,8958
2,2019,medical,1,2118
2,2019,medical,2,1826
2,2019,medical,3,1735
2,2019,medical,4,1553
2,2019,medical,5,1434
2,2019,medical,6,1276
2,2019,medical,7,1282
